---, 0, 0, 1f:0e:12:df:e4:32, , -93, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -90, 11
---, 0, 0, f9:08:15:aa:31:fd, , -85, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -91, 
---, 0, 0, d8:26:0f:a5:a0:bf, , -94, 
---, 0, 0, 01:82:20:3e:9d:7b, , -99, 
19/07/2026 17:25:07, -15826390, -47987109, d6:47:e2:45:c1:c7, , -97, 
19/07/2026 17:25:16, -15826384, -47987105, 1d:f4:9f:35:bd:af, , -98, 
19/07/2026 17:25:27, -15826385, -47987071, 51:c1:5a:f1:1e:20, , -101, 12
19/07/2026 17:25:34, -15826382, -47987067, 07:1e:cd:f5:b5:a4, , -103, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -87, 11
---, 0, 0, 04:e4:b6:fc:42:ca, 50" Crystal UHD, -75, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -94, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -75, 
---, 0, 0, d6:47:e2:45:c1:c7, , -84, 
19/07/2026 17:25:45, -15826384, -47987076, 07:1e:cd:f5:b5:a4, , -97, 
19/07/2026 17:25:45, -15826384, -47987076, f9:08:15:aa:31:fd, , -98, 
19/07/2026 17:25:48, -15826383, -47987070, d8:26:0f:a5:a0:bf, , -93, 
19/07/2026 17:25:56, -15826363, -47986976, 01:82:20:3e:9d:7b, , -99, 
---, 0, 0, 10:2b:41:d5:cb:90, [TV] Samsung AU7700 43 TV, -67, 
---, 0, 0, 5d:2c:6b:72:c0:32, , -91, 11
---, 0, 0, 04:e4:b6:fc:42:ca, , -74, 
---, 0, 0, cb:28:15:79:72:90, Amazfit GTR 2, -84, 
19/07/2026 17:26:24, -15826399, -47987083, d6:47:e2:45:c1:c7, , -86, 
19/07/2026 17:26:27, -15826403, -47987093, f9:08:15:aa:31:fd, , -86, 
19/07/2026 17:26:29, -15826405, -47987098, 01:82:20:3e:9d:7b, , -99, 
19/07/2026 17:26:29, -15826405, -47987098, 07:1e:cd:f5:b5:a4, , -99, 
19/07/2026 17:26:32, -15826407, -47987105, d8:26:0f:a5:a0:bf, , -97, 
19/07/2026 17:26:35, -15826406, -47987105, 51:c1:5a:f1:1e:20, , -100, 12
